No.	DateMeas	TimeMeas	PV	RMS	Tilt	Power	Hardware	Intensity accumul.	Phase accumul.	Sample	Sample	User	Defocus	MaskWidth	MaskHeight	C1 (c1,1)	C2 (s1,1)	C3 (2,2)	C4 (c2,2)	C5 (s2,2)	C6 (c3,1)	C7 (s3,1)	C8 (4,0)	C9 (c3,3)	C10 (s3,3)	C11 (c4,2)	C12 (s4,2)	C13 (c5,1)	C14 (s5,1)	C15 (6,0)
			[nm]	[nm]	[nm]	[nm]	setup			ID	name	initials	[mm]	[pixel]	[pixel]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]
74	12/09/21	16:48:23	379.7	54.6	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
75	12/09/21	16:48:37	347.6	48.7	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
76	12/09/21	16:48:45	385.3	45.8	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
77	12/09/21	16:48:52	161.3	15.6	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
78	12/09/21	16:49:56	134.7	14.3	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
79	12/09/21	16:50:02	314.9	32.2	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
80	12/09/21	16:50:07	348.2	49.3	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
81	12/09/21	16:50:14	338.6	50.3	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
82	12/09/21	16:50:21	362.1	52.1	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
83	12/09/21	16:50:27	343.9	49.8	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
